iter	RMSE
0	13.96962521
1	13.09082657
2	12.27861651
3	11.53029884
4	10.86372554
5	10.3713489
6	9.849643053
7	9.396849626
8	8.969285802
9	8.566383315
10	8.216858227
11	7.89754454
12	7.636707913
13	7.405163255
14	7.182702783
15	6.957275975
16	6.768258166
17	6.615880321
18	6.479309083
19	6.359108889
20	6.255670763
21	6.153936396
22	6.053111888
23	5.970987961
24	5.890743952
25	5.829830545
26	5.769948129
27	5.721706082
28	5.672968861
29	5.62630236
30	5.58987416
31	5.550732638
32	5.511820271
33	5.477243826
34	5.443525918
35	5.407514336
36	5.383319157
37	5.362296042
38	5.3493148
39	5.328995677
40	5.310007988
41	5.290121498
42	5.271662679
43	5.262942297
44	5.244280302
45	5.232363272
46	5.219786054
47	5.20496298
48	5.188764532
49	5.178436174
50	5.157686408
51	5.141592071
52	5.137175646
53	5.132038992
54	5.115235871
55	5.097038792
56	5.084356199
57	5.074923577
58	5.054468592
59	5.052610233
60	5.045664004
61	5.034137832
62	5.026478131
63	5.004239835
64	4.99224455
65	4.980021835
66	4.962867817
67	4.943081624
68	4.929484111
69	4.914876145
70	4.904474407
71	4.893005217
72	4.881912278
73	4.870678437
74	4.857372801
75	4.847310451
76	4.832714254
77	4.823635076
78	4.817015223
79	4.80871764
80	4.797709925
81	4.786063212
82	4.780708585
83	4.774456873
84	4.762539312
85	4.758121449
86	4.749861951
87	4.740109192
88	4.732630036
89	4.722417002
90	4.717336233
91	4.708433427
92	4.693173912
93	4.684847359
94	4.68445945
95	4.677607217
96	4.67361688
97	4.660947149
98	4.647522215
99	4.644351261
