iter	Passed	Remaining
0	59	59783
1	60	30057
2	60	20136
3	61	15199
4	61	12213
5	61	10229
6	62	8827
7	62	7767
8	62	6929
9	63	6266
10	63	5733
11	64	5293
12	64	4907
13	65	4579
14	65	4292
15	65	4036
16	65	3813
17	66	3616
18	66	3436
19	66	3275
20	67	3128
21	67	2994
22	67	2873
23	67	2761
24	68	2661
25	68	2568
26	68	2485
27	69	2407
28	69	2339
29	70	2270
30	70	2205
31	70	2143
32	71	2084
33	71	2029
34	71	1977
35	72	1928
36	72	1882
37	72	1837
38	72	1796
39	73	1758
40	73	1722
41	74	1688
42	74	1655
43	74	1622
44	74	1589
45	75	1559
46	75	1530
47	75	1505
48	76	1478
49	76	1452
50	76	1430
51	77	1408
52	77	1387
53	77	1364
54	78	1343
55	78	1323
56	78	1305
57	79	1286
58	79	1267
59	79	1250
60	80	1233
61	80	1217
62	80	1201
63	81	1184
64	81	1169
65	81	1154
66	81	1140
67	82	1123
68	82	1111
69	82	1098
70	83	1086
71	83	1073
72	83	1065
73	84	1054
74	84	1043
75	84	1033
76	85	1022
77	85	1011
78	85	1001
79	86	991
80	86	982
81	86	973
82	87	963
83	87	955
84	87	944
85	88	935
86	88	925
87	88	917
88	88	908
89	89	901
90	89	894
91	89	887
92	90	879
93	90	871
94	90	863
95	90	856
96	91	849
97	91	842
98	91	835
99	92	828
100	92	822
101	92	814
102	92	807
103	93	801
104	93	796
105	93	791
106	94	785
107	94	780
108	94	774
109	95	768
110	95	763
111	95	757
112	95	752
113	96	746
114	96	741
115	96	735
116	96	730
117	97	725
118	97	719
119	97	714
120	97	711
121	98	707
122	98	701
123	98	697
124	98	692
125	99	688
126	99	684
127	99	678
128	99	674
129	100	670
130	100	667
131	101	664
132	101	661
133	101	657
134	102	653
135	102	650
136	102	646
137	102	642
138	103	639
139	103	635
140	103	632
141	104	628
142	104	625
143	104	622
144	105	619
145	105	615
146	105	612
147	105	609
148	106	606
149	106	603
150	106	600
151	107	597
152	107	594
153	107	591
154	108	588
155	108	585
156	108	582
157	108	579
158	109	577
159	109	574
160	109	572
161	110	569
162	110	566
163	110	563
164	110	560
165	111	558
166	111	555
167	111	552
168	111	550
169	112	547
170	112	545
171	112	542
172	112	540
173	113	537
174	113	534
175	113	532
176	114	530
177	114	528
178	114	526
179	114	523
180	115	520
181	115	518
182	115	515
183	115	513
184	116	511
185	116	509
186	116	507
187	117	505
188	117	503
189	117	501
190	118	500
191	118	498
192	118	496
193	119	494
194	119	492
195	119	490
196	119	488
197	120	486
198	120	484
199	120	482
200	120	480
201	121	478
202	121	477
203	121	475
204	122	473
205	122	471
206	122	469
207	122	467
208	123	466
209	123	464
210	123	462
211	123	460
212	124	458
213	124	456
214	124	455
215	124	453
216	125	451
217	125	450
218	125	448
219	126	446
220	126	445
221	126	443
222	126	442
223	127	440
224	127	439
225	127	438
226	128	437
227	128	435
228	128	433
229	129	432
230	129	432
231	130	430
232	130	429
233	132	433
234	132	432
235	133	431
236	133	430
237	134	430
238	134	428
239	134	427
240	136	428
241	136	427
242	136	425
243	136	424
244	137	422
245	137	421
246	137	419
247	139	423
248	139	422
249	140	420
250	140	419
251	140	417
252	141	417
253	141	416
254	142	415
255	142	414
256	144	418
257	145	417
258	145	415
259	145	414
260	146	413
261	146	412
262	146	411
263	147	410
264	147	409
265	147	408
266	148	406
267	148	405
268	149	405
269	149	403
270	149	402
271	149	401
272	150	400
273	151	401
274	152	400
275	152	399
276	152	399
277	153	398
278	153	396
279	153	395
280	154	394
281	154	393
282	154	392
283	155	391
284	155	390
285	155	389
286	156	388
287	156	387
288	156	385
289	157	384
290	157	383
291	157	382
292	157	381
293	158	380
294	158	378
295	158	377
296	159	376
297	159	375
298	159	374
299	159	373
300	160	372
301	160	371
302	161	370
303	161	369
304	161	368
305	162	367
306	162	366
307	162	365
308	162	364
309	163	363
310	163	362
311	163	361
312	164	360
313	164	359
314	164	358
315	164	356
316	165	355
317	165	354
318	165	353
319	165	352
320	166	351
321	166	350
322	166	349
323	166	348
324	167	346
325	167	345
326	167	344
327	167	343
328	168	342
329	168	341
330	168	340
331	168	339
332	168	338
333	169	337
334	169	336
335	169	335
336	169	334
337	170	333
338	170	332
339	170	331
340	170	330
341	171	329
342	171	328
343	171	327
344	171	326
345	172	325
346	172	324
347	172	323
348	172	322
349	173	321
350	173	320
351	173	319
352	173	318
353	174	317
354	174	316
355	174	316
356	174	315
357	175	314
358	175	313
359	176	312
360	176	311
361	176	311
362	176	310
363	177	309
364	177	308
365	177	307
366	177	306
367	177	305
368	178	304
369	178	303
370	178	302
371	178	302
372	179	301
373	179	300
374	179	299
375	179	298
376	180	297
377	180	296
378	180	295
379	180	295
380	181	294
381	181	293
382	181	292
383	181	291
384	182	290
385	182	290
386	182	289
387	182	288
388	183	287
389	183	286
390	183	285
391	183	285
392	184	284
393	184	283
394	184	282
395	184	281
396	184	280
397	185	280
398	185	279
399	185	278
400	185	277
401	186	276
402	186	276
403	186	275
404	186	274
405	187	273
406	187	272
407	187	272
408	187	271
409	188	270
410	188	269
411	188	269
412	188	268
413	189	267
414	189	266
415	189	266
416	189	265
417	190	264
418	190	263
419	190	263
420	190	262
421	191	261
422	191	261
423	191	260
424	191	259
425	192	258
426	192	258
427	192	257
428	192	256
429	193	255
430	193	255
431	193	254
432	193	253
433	193	252
434	194	252
435	194	251
436	194	250
437	194	250
438	195	249
439	195	248
440	195	248
441	195	247
442	196	246
443	196	245
444	196	245
445	196	244
446	197	243
447	197	243
448	197	242
449	197	241
450	198	241
451	198	240
452	198	239
453	198	238
454	198	238
455	199	237
456	199	236
