iter	Passed	Remaining
0	0	723
1	1	653
2	1	591
3	2	588
4	2	579
5	3	601
6	4	599
7	4	601
8	5	589
9	5	576
10	6	569
11	6	566
12	7	554
13	7	545
14	8	540
15	8	533
16	9	532
17	9	531
18	10	527
19	10	521
20	11	517
21	11	514
22	12	511
23	12	507
24	12	503
25	13	502
26	13	501
27	14	499
28	14	496
29	15	494
30	15	496
31	16	496
32	16	494
33	17	493
34	17	494
35	18	494
36	19	495
37	19	493
38	19	490
39	20	488
40	20	486
41	21	484
42	21	483
43	22	482
44	22	480
45	23	478
46	23	477
47	24	477
48	24	475
49	24	473
50	25	471
51	25	468
52	26	466
53	26	465
54	27	464
55	27	462
56	27	460
57	28	459
58	28	458
59	29	457
60	29	455
61	30	454
62	30	453
63	30	452
64	31	453
65	31	452
66	32	452
67	33	452
68	33	455
69	34	457
70	34	457
71	35	457
72	35	457
73	36	456
74	36	455
75	37	454
76	37	452
77	38	452
78	38	450
79	39	450
80	39	450
81	40	449
82	40	444
83	40	444
84	41	444
85	41	443
86	42	442
87	42	441
88	43	441
89	43	440
90	44	440
91	44	439
92	45	439
93	45	440
94	46	440
95	46	441
96	47	440
97	47	441
98	48	440
99	49	442
100	49	441
101	50	440
102	50	440
103	51	440
104	51	439
105	52	438
106	52	438
107	52	437
108	53	436
109	53	436
110	54	436
111	54	435
112	55	434
113	55	434
114	56	433
115	56	432
116	57	431
117	57	430
118	58	429
119	58	428
120	59	428
121	59	427
122	59	426
123	60	425
124	60	425
125	61	426
126	62	426
127	62	426
128	63	425
129	63	425
130	64	428
131	65	427
132	65	427
133	66	427
134	66	426
135	67	425
136	67	425
137	67	424
138	68	423
139	68	423
140	69	422
141	69	421
142	70	420
143	70	419
144	70	418
145	71	417
146	71	417
147	72	416
148	72	415
149	73	414
150	73	414
151	74	413
152	74	413
153	75	412
154	75	412
155	76	414
156	77	414
157	77	414
158	78	415
159	79	414
160	79	413
161	79	413
162	80	412
163	80	412
164	81	411
165	81	411
166	82	411
167	82	410
168	83	410
169	84	410
170	84	409
171	84	408
172	85	408
173	85	407
174	86	406
175	86	406
176	87	405
177	87	404
178	88	404
179	88	403
180	88	402
181	89	402
182	89	401
183	90	400
184	90	400
185	91	399
186	91	399
187	92	399
188	92	399
189	93	399
190	94	399
191	94	398
192	95	398
193	96	398
194	96	398
195	97	398
196	97	397
197	98	397
198	98	396
199	99	396
200	99	395
201	100	395
202	100	394
203	101	394
204	101	393
205	102	393
206	102	392
207	102	392
208	103	391
209	103	390
210	104	390
211	104	389
212	105	388
213	105	388
214	106	387
215	106	386
216	107	386
217	107	386
218	108	386
219	108	386
220	109	385
221	109	384
222	110	384
223	110	383
224	111	383
225	111	382
226	112	382
227	112	381
228	113	381
229	113	380
230	114	380
231	114	379
232	115	379
233	115	378
234	116	378
235	116	377
236	117	377
237	117	376
238	118	376
239	118	375
240	118	374
241	119	374
242	119	373
243	120	372
244	120	372
245	121	372
246	121	371
247	122	370
248	122	370
249	123	370
250	123	369
251	124	368
252	124	368
253	125	368
254	125	367
255	126	367
256	126	366
257	127	366
258	127	365
259	128	365
260	128	364
261	129	364
262	129	363
263	130	363
264	130	362
265	131	362
266	131	361
267	132	361
268	132	360
269	133	360
270	133	359
271	134	358
272	134	358
273	134	357
274	135	357
275	136	356
276	136	356
277	136	355
278	137	355
279	137	354
280	138	354
281	139	354
282	139	353
283	140	353
284	140	352
